1: (('yellow', 'dis_3'), 'stop', ('red', 'dis_1'), 12.0, False)
77: (('brown', 'dis_3'), 'right', ('brown', 'dis_3'), 0, False)
78: (('blue', 'dis_1'), 'right', ('black', 'dis_2'), 9.0, False)
79: (('black', 'dis_4'), 'forward', ('red', 'dis_0'), 94.0, True)
80: (('black', 'dis_0'), 'forward', ('brown', 'dis_3'), -13.0, False)
81: (('brown', 'dis_2'), 'right', ('white', 'dis_2'), 10.0, False)
82: (('yellow', 'dis_1'), 'stop', ('red', 'dis_1'), 10.0, False)
83: (('blue', 'dis_3'), 'forward', ('red', 'dis_2'), 11.0, False)
84: (('blue', 'dis_0'), 'right', ('red', 'dis_4'), 6.0, False)
85: (('brown', 'dis_3'), 'left', ('yellow', 'dis_0'), 13.0, False)
86: (('black', 'dis_1'), 'left', ('blue', 'dis_0'), -9.0, False)
87: (('yellow', 'dis_1'), 'right', ('black', 'dis_4'), 7.0, False)
88: (('blue', 'dis_3'), 'left', ('yellow', 'dis_3'), -10.0, False)
89: (('white', 'dis_3'), 'stop', ('blue', 'dis_0'), 13.0, False)
90: (('blue', 'dis_0'), 'left', ('white', 'dis_1'), -11.0, False)
91: (('blue', 'dis_0'), 'stop', ('blue', 'dis_3'), -3.0, False)
92: (('red', 'dis_0'), 'right', ('white', 'dis_3'), -13.0, False)
93: (('blue', 'dis_2'), 'stop', ('red', 'dis_3'), 9.0, False)
94: (('yellow', 'dis_2'), 'left', ('brown', 'dis_3'), -11.0, False)
95: (('brown', 'dis_0'), 'forward', ('red', 'dis_4'), 6.0, False)
96: (('white', 'dis_1'), 'right', ('red', 'dis_3'), 8.0, False)
97: (('red', 'dis_1'), 'stop', ('brown', 'dis_3'), -12.0, False)
98: (('black', 'dis_0'), 'backward', ('white', 'dis_3'), -13.0, False)
99: (('black', 'dis_4'), 'right', ('blue', 'dis_3'), -9.0, False)
100: (('white', 'dis_1'), 'forward', ('yellow', 'dis_1'), 10.0, False)
