1: (('white', 'dis_0'), 'forward', ('white', 'dis_0'), -1.0, False)
102: (('white', 'dis_0'), 'left', ('blue', 'dis_1'), 28.0, False)
103: (('white', 'dis_0'), 'left', ('blue', 'dis_2'), 27.0, False)
104: (('white', 'dis_0'), 'left', ('blue', 'dis_3'), 26.0, False)
105: (('white', 'dis_0'), 'left', ('blue', 'dis_4'), 25.0, False)
106: (('white', 'dis_0'), 'left', ('red', 'dis_0'), 39.0, False)
107: (('white', 'dis_0'), 'left', ('red', 'dis_1'), 38.0, False)
108: (('white', 'dis_0'), 'left', ('red', 'dis_2'), 37.0, False)
109: (('white', 'dis_0'), 'left', ('red', 'dis_3'), 36.0, False)
110: (('white', 'dis_0'), 'left', ('red', 'dis_4'), 135.0, True)
111: (('white', 'dis_0'), 'left', ('black', 'dis_0'), 49.0, False)
112: (('white', 'dis_0'), 'left', ('black', 'dis_1'), 48.0, False)
113: (('white', 'dis_0'), 'left', ('black', 'dis_2'), 47.0, False)
114: (('white', 'dis_0'), 'left', ('black', 'dis_3'), 46.0, False)
115: (('white', 'dis_0'), 'left', ('black', 'dis_4'), 45.0, False)
116: (('white', 'dis_0'), 'left', ('brown', 'dis_0'), 99.0, False)
117: (('white', 'dis_0'), 'left', ('brown', 'dis_1'), 98.0, False)
118: (('white', 'dis_0'), 'left', ('brown', 'dis_2'), 97.0, False)
119: (('white', 'dis_0'), 'left', ('brown', 'dis_3'), 96.0, False)
120: (('white', 'dis_0'), 'left', ('brown', 'dis_4'), 95.0, False)
121: (('white', 'dis_0'), 'stop', ('white', 'dis_0'), -1.0, False)
122: (('white', 'dis_0'), 'stop', ('white', 'dis_1'), -2.0, False)
123: (('white', 'dis_0'), 'stop', ('white', 'dis_2'), -3.0, False)
124: (('white', 'dis_0'), 'stop', ('white', 'dis_3'), -4.0, False)
125: (('white', 'dis_0'), 'stop', ('white', 'dis_4'), -5.0, False)
126: (('white', 'dis_0'), 'stop', ('yellow', 'dis_0'), 19.0, False)
127: (('white', 'dis_0'), 'stop', ('yellow', 'dis_1'), 18.0, False)
128: (('white', 'dis_0'), 'stop', ('yellow', 'dis_2'), 17.0, False)
129: (('white', 'dis_0'), 'stop', ('yellow', 'dis_3'), 16.0, False)
130: (('white', 'dis_0'), 'stop', ('yellow', 'dis_4'), 15.0, False)
131: (('white', 'dis_0'), 'stop', ('blue', 'dis_0'), 29.0, False)
132: (('white', 'dis_0'), 'stop', ('blue', 'dis_1'), 28.0, False)
133: (('white', 'dis_0'), 'stop', ('blue', 'dis_2'), 27.0, False)
134: (('white', 'dis_0'), 'stop', ('blue', 'dis_3'), 26.0, False)
135: (('white', 'dis_0'), 'stop', ('blue', 'dis_4'), 25.0, False)
136: (('white', 'dis_0'), 'stop', ('red', 'dis_0'), 39.0, False)
137: (('white', 'dis_0'), 'stop', ('red', 'dis_1'), 38.0, False)
138: (('white', 'dis_0'), 'stop', ('red', 'dis_2'), 37.0, False)
139: (('white', 'dis_0'), 'stop', ('red', 'dis_3'), 36.0, False)
140: (('white', 'dis_0'), 'stop', ('red', 'dis_4'), 135.0, True)
141: (('white', 'dis_0'), 'stop', ('black', 'dis_0'), 49.0, False)
142: (('white', 'dis_0'), 'stop', ('black', 'dis_1'), 48.0, False)
143: (('white', 'dis_0'), 'stop', ('black', 'dis_2'), 47.0, False)
144: (('white', 'dis_0'), 'stop', ('black', 'dis_3'), 46.0, False)
145: (('white', 'dis_0'), 'stop', ('black', 'dis_4'), 45.0, False)
146: (('white', 'dis_0'), 'stop', ('brown', 'dis_0'), 99.0, False)
147: (('white', 'dis_0'), 'stop', ('brown', 'dis_1'), 98.0, False)
148: (('white', 'dis_0'), 'stop', ('brown', 'dis_2'), 97.0, False)
149: (('white', 'dis_0'), 'stop', ('brown', 'dis_3'), 96.0, False)
150: (('white', 'dis_0'), 'stop', ('brown', 'dis_4'), 95.0, False)
151: (('white', 'dis_1'), 'forward', ('white', 'dis_0'), -1.0, False)
152: (('white', 'dis_1'), 'forward', ('white', 'dis_1'), -2.0, False)
153: (('white', 'dis_1'), 'forward', ('white', 'dis_2'), -3.0, False)
154: (('white', 'dis_1'), 'forward', ('white', 'dis_3'), -4.0, False)
155: (('white', 'dis_1'), 'forward', ('white', 'dis_4'), -5.0, False)
156: (('white', 'dis_1'), 'forward', ('yellow', 'dis_0'), 19.0, False)
157: (('white', 'dis_1'), 'forward', ('yellow', 'dis_1'), 18.0, False)
158: (('white', 'dis_1'), 'forward', ('yellow', 'dis_2'), 17.0, False)
159: (('white', 'dis_1'), 'forward', ('yellow', 'dis_3'), 16.0, False)
160: (('white', 'dis_1'), 'forward', ('yellow', 'dis_4'), 15.0, False)
161: (('white', 'dis_1'), 'forward', ('blue', 'dis_0'), 29.0, False)
162: (('white', 'dis_1'), 'forward', ('blue', 'dis_1'), 28.0, False)
163: (('white', 'dis_1'), 'forward', ('blue', 'dis_2'), 27.0, False)
164: (('white', 'dis_1'), 'forward', ('blue', 'dis_3'), 26.0, False)
165: (('white', 'dis_1'), 'forward', ('blue', 'dis_4'), 25.0, False)
166: (('white', 'dis_1'), 'forward', ('red', 'dis_0'), 39.0, False)
167: (('white', 'dis_1'), 'forward', ('red', 'dis_1'), 38.0, False)
168: (('white', 'dis_1'), 'forward', ('red', 'dis_2'), 37.0, False)
169: (('white', 'dis_1'), 'forward', ('red', 'dis_3'), 36.0, False)
170: (('white', 'dis_1'), 'forward', ('red', 'dis_4'), 135.0, True)
171: (('white', 'dis_1'), 'forward', ('black', 'dis_0'), 49.0, False)
172: (('white', 'dis_1'), 'forward', ('black', 'dis_1'), 48.0, False)
173: (('white', 'dis_1'), 'forward', ('black', 'dis_2'), 47.0, False)
174: (('white', 'dis_1'), 'forward', ('black', 'dis_3'), 46.0, False)
175: (('white', 'dis_1'), 'forward', ('black', 'dis_4'), 45.0, False)
176: (('white', 'dis_1'), 'forward', ('brown', 'dis_0'), 99.0, False)
177: (('white', 'dis_1'), 'forward', ('brown', 'dis_1'), 98.0, False)
178: (('white', 'dis_1'), 'forward', ('brown', 'dis_2'), 97.0, False)
179: (('white', 'dis_1'), 'forward', ('brown', 'dis_3'), 96.0, False)
180: (('white', 'dis_1'), 'forward', ('brown', 'dis_4'), 95.0, False)
181: (('white', 'dis_1'), 'backward', ('white', 'dis_0'), -1.0, False)
182: (('white', 'dis_1'), 'backward', ('white', 'dis_1'), -2.0, False)
183: (('white', 'dis_1'), 'backward', ('white', 'dis_2'), -3.0, False)
184: (('white', 'dis_1'), 'backward', ('white', 'dis_3'), -4.0, False)
185: (('white', 'dis_1'), 'backward', ('white', 'dis_4'), -5.0, False)
186: (('white', 'dis_1'), 'backward', ('yellow', 'dis_0'), 19.0, False)
187: (('white', 'dis_1'), 'backward', ('yellow', 'dis_1'), 18.0, False)
188: (('white', 'dis_1'), 'backward', ('yellow', 'dis_2'), 17.0, False)
189: (('white', 'dis_1'), 'backward', ('yellow', 'dis_3'), 16.0, False)
190: (('white', 'dis_1'), 'backward', ('yellow', 'dis_4'), 15.0, False)
191: (('white', 'dis_1'), 'backward', ('blue', 'dis_0'), 29.0, False)
192: (('white', 'dis_1'), 'backward', ('blue', 'dis_1'), 28.0, False)
193: (('white', 'dis_1'), 'backward', ('blue', 'dis_2'), 27.0, False)
194: (('white', 'dis_1'), 'backward', ('blue', 'dis_3'), 26.0, False)
195: (('white', 'dis_1'), 'backward', ('blue', 'dis_4'), 25.0, False)
196: (('white', 'dis_1'), 'backward', ('red', 'dis_0'), 39.0, False)
197: (('white', 'dis_1'), 'backward', ('red', 'dis_1'), 38.0, False)
198: (('white', 'dis_1'), 'backward', ('red', 'dis_2'), 37.0, False)
199: (('white', 'dis_1'), 'backward', ('red', 'dis_3'), 36.0, False)
200: (('white', 'dis_1'), 'backward', ('red', 'dis_4'), 135.0, True)
201: (('white', 'dis_1'), 'backward', ('black', 'dis_0'), 49.0, False)
202: (('white', 'dis_1'), 'backward', ('black', 'dis_1'), 48.0, False)
203: (('white', 'dis_1'), 'backward', ('black', 'dis_2'), 47.0, False)
204: (('white', 'dis_1'), 'backward', ('black', 'dis_3'), 46.0, False)
205: (('white', 'dis_1'), 'backward', ('black', 'dis_4'), 45.0, False)
206: (('white', 'dis_1'), 'backward', ('brown', 'dis_0'), 99.0, False)
207: (('white', 'dis_1'), 'backward', ('brown', 'dis_1'), 98.0, False)
208: (('white', 'dis_1'), 'backward', ('brown', 'dis_2'), 97.0, False)
209: (('white', 'dis_1'), 'backward', ('brown', 'dis_3'), 96.0, False)
210: (('white', 'dis_1'), 'backward', ('brown', 'dis_4'), 95.0, False)
211: (('white', 'dis_1'), 'right', ('white', 'dis_0'), -1.0, False)
212: (('white', 'dis_1'), 'right', ('white', 'dis_1'), -2.0, False)
213: (('white', 'dis_1'), 'right', ('white', 'dis_2'), -3.0, False)
214: (('white', 'dis_1'), 'right', ('white', 'dis_3'), -4.0, False)
215: (('white', 'dis_1'), 'right', ('white', 'dis_4'), -5.0, False)
216: (('white', 'dis_1'), 'right', ('yellow', 'dis_0'), 19.0, False)
217: (('white', 'dis_1'), 'right', ('yellow', 'dis_1'), 18.0, False)
218: (('white', 'dis_1'), 'right', ('yellow', 'dis_2'), 17.0, False)
219: (('white', 'dis_1'), 'right', ('yellow', 'dis_3'), 16.0, False)
220: (('white', 'dis_1'), 'right', ('yellow', 'dis_4'), 15.0, False)
221: (('white', 'dis_1'), 'right', ('blue', 'dis_0'), 29.0, False)
222: (('white', 'dis_1'), 'right', ('blue', 'dis_1'), 28.0, False)
223: (('white', 'dis_1'), 'right', ('blue', 'dis_2'), 27.0, False)
224: (('white', 'dis_1'), 'right', ('blue', 'dis_3'), 26.0, False)
225: (('white', 'dis_1'), 'right', ('blue', 'dis_4'), 25.0, False)
226: (('white', 'dis_1'), 'right', ('red', 'dis_0'), 39.0, False)
227: (('white', 'dis_1'), 'right', ('red', 'dis_1'), 38.0, False)
228: (('white', 'dis_1'), 'right', ('red', 'dis_2'), 37.0, False)
229: (('white', 'dis_1'), 'right', ('red', 'dis_3'), 36.0, False)
230: (('white', 'dis_1'), 'right', ('red', 'dis_4'), 135.0, True)
231: (('white', 'dis_1'), 'right', ('black', 'dis_0'), 49.0, False)
232: (('white', 'dis_1'), 'right', ('black', 'dis_1'), 48.0, False)
233: (('white', 'dis_1'), 'right', ('black', 'dis_2'), 47.0, False)
234: (('white', 'dis_1'), 'right', ('black', 'dis_3'), 46.0, False)
235: (('white', 'dis_1'), 'right', ('black', 'dis_4'), 45.0, False)
236: (('white', 'dis_1'), 'right', ('brown', 'dis_0'), 99.0, False)
237: (('white', 'dis_1'), 'right', ('brown', 'dis_1'), 98.0, False)
238: (('white', 'dis_1'), 'right', ('brown', 'dis_2'), 97.0, False)
239: (('white', 'dis_1'), 'right', ('brown', 'dis_3'), 96.0, False)
240: (('white', 'dis_1'), 'right', ('brown', 'dis_4'), 95.0, False)
241: (('white', 'dis_1'), 'left', ('white', 'dis_0'), -1.0, False)
242: (('white', 'dis_1'), 'left', ('white', 'dis_1'), -2.0, False)
243: (('white', 'dis_1'), 'left', ('white', 'dis_2'), -3.0, False)
244: (('white', 'dis_1'), 'left', ('white', 'dis_3'), -4.0, False)
245: (('white', 'dis_1'), 'left', ('white', 'dis_4'), -5.0, False)
246: (('white', 'dis_1'), 'left', ('yellow', 'dis_0'), 19.0, False)
247: (('white', 'dis_1'), 'left', ('yellow', 'dis_1'), 18.0, False)
248: (('white', 'dis_1'), 'left', ('yellow', 'dis_2'), 17.0, False)
249: (('white', 'dis_1'), 'left', ('yellow', 'dis_3'), 16.0, False)
250: (('white', 'dis_1'), 'left', ('yellow', 'dis_4'), 15.0, False)
251: (('white', 'dis_1'), 'left', ('blue', 'dis_0'), 29.0, False)
252: (('white', 'dis_1'), 'left', ('blue', 'dis_1'), 28.0, False)
253: (('white', 'dis_1'), 'left', ('blue', 'dis_2'), 27.0, False)
254: (('white', 'dis_1'), 'left', ('blue', 'dis_3'), 26.0, False)
255: (('white', 'dis_1'), 'left', ('blue', 'dis_4'), 25.0, False)
256: (('white', 'dis_1'), 'left', ('red', 'dis_0'), 39.0, False)
257: (('white', 'dis_1'), 'left', ('red', 'dis_1'), 38.0, False)
258: (('white', 'dis_1'), 'left', ('red', 'dis_2'), 37.0, False)
259: (('white', 'dis_1'), 'left', ('red', 'dis_3'), 36.0, False)
260: (('white', 'dis_1'), 'left', ('red', 'dis_4'), 135.0, True)
261: (('white', 'dis_1'), 'left', ('black', 'dis_0'), 49.0, False)
262: (('white', 'dis_1'), 'left', ('black', 'dis_1'), 48.0, False)
263: (('white', 'dis_1'), 'left', ('black', 'dis_2'), 47.0, False)
264: (('white', 'dis_1'), 'left', ('black', 'dis_3'), 46.0, False)
265: (('white', 'dis_1'), 'left', ('black', 'dis_4'), 45.0, False)
266: (('white', 'dis_1'), 'left', ('brown', 'dis_0'), 99.0, False)
267: (('white', 'dis_1'), 'left', ('brown', 'dis_1'), 98.0, False)
268: (('white', 'dis_1'), 'left', ('brown', 'dis_2'), 97.0, False)
269: (('white', 'dis_1'), 'left', ('brown', 'dis_3'), 96.0, False)
270: (('white', 'dis_1'), 'left', ('brown', 'dis_4'), 95.0, False)
271: (('white', 'dis_1'), 'stop', ('white', 'dis_0'), -1.0, False)
272: (('white', 'dis_1'), 'stop', ('white', 'dis_1'), -2.0, False)
273: (('white', 'dis_1'), 'stop', ('white', 'dis_2'), -3.0, False)
274: (('white', 'dis_1'), 'stop', ('white', 'dis_3'), -4.0, False)
275: (('white', 'dis_1'), 'stop', ('white', 'dis_4'), -5.0, False)
276: (('white', 'dis_1'), 'stop', ('yellow', 'dis_0'), 19.0, False)
277: (('white', 'dis_1'), 'stop', ('yellow', 'dis_1'), 18.0, False)
278: (('white', 'dis_1'), 'stop', ('yellow', 'dis_2'), 17.0, False)
279: (('white', 'dis_1'), 'stop', ('yellow', 'dis_3'), 16.0, False)
280: (('white', 'dis_1'), 'stop', ('yellow', 'dis_4'), 15.0, False)
281: (('white', 'dis_1'), 'stop', ('blue', 'dis_0'), 29.0, False)
282: (('white', 'dis_1'), 'stop', ('blue', 'dis_1'), 28.0, False)
283: (('white', 'dis_1'), 'stop', ('blue', 'dis_2'), 27.0, False)
284: (('white', 'dis_1'), 'stop', ('blue', 'dis_3'), 26.0, False)
285: (('white', 'dis_1'), 'stop', ('blue', 'dis_4'), 25.0, False)
286: (('white', 'dis_1'), 'stop', ('red', 'dis_0'), 39.0, False)
287: (('white', 'dis_1'), 'stop', ('red', 'dis_1'), 38.0, False)
288: (('white', 'dis_1'), 'stop', ('red', 'dis_2'), 37.0, False)
289: (('white', 'dis_1'), 'stop', ('red', 'dis_3'), 36.0, False)
290: (('white', 'dis_1'), 'stop', ('red', 'dis_4'), 135.0, True)
291: (('white', 'dis_1'), 'stop', ('black', 'dis_0'), 49.0, False)
292: (('white', 'dis_1'), 'stop', ('black', 'dis_1'), 48.0, False)
293: (('white', 'dis_1'), 'stop', ('black', 'dis_2'), 47.0, False)
294: (('white', 'dis_1'), 'stop', ('black', 'dis_3'), 46.0, False)
295: (('white', 'dis_1'), 'stop', ('black', 'dis_4'), 45.0, False)
296: (('white', 'dis_1'), 'stop', ('brown', 'dis_0'), 99.0, False)
297: (('white', 'dis_1'), 'stop', ('brown', 'dis_1'), 98.0, False)
298: (('white', 'dis_1'), 'stop', ('brown', 'dis_2'), 97.0, False)
299: (('white', 'dis_1'), 'stop', ('brown', 'dis_3'), 96.0, False)
300: (('white', 'dis_1'), 'stop', ('brown', 'dis_4'), 95.0, False)
301: (('white', 'dis_2'), 'forward', ('white', 'dis_0'), -1.0, False)
302: (('white', 'dis_2'), 'forward', ('white', 'dis_1'), -2.0, False)
303: (('white', 'dis_2'), 'forward', ('white', 'dis_2'), -3.0, False)
304: (('white', 'dis_2'), 'forward', ('white', 'dis_3'), -4.0, False)
305: (('white', 'dis_2'), 'forward', ('white', 'dis_4'), -5.0, False)
306: (('white', 'dis_2'), 'forward', ('yellow', 'dis_0'), 19.0, False)
307: (('white', 'dis_2'), 'forward', ('yellow', 'dis_1'), 18.0, False)
308: (('white', 'dis_2'), 'forward', ('yellow', 'dis_2'), 17.0, False)
309: (('white', 'dis_2'), 'forward', ('yellow', 'dis_3'), 16.0, False)
310: (('white', 'dis_2'), 'forward', ('yellow', 'dis_4'), 15.0, False)
311: (('white', 'dis_2'), 'forward', ('blue', 'dis_0'), 29.0, False)
312: (('white', 'dis_2'), 'forward', ('blue', 'dis_1'), 28.0, False)
313: (('white', 'dis_2'), 'forward', ('blue', 'dis_2'), 27.0, False)
314: (('white', 'dis_2'), 'forward', ('blue', 'dis_3'), 26.0, False)
315: (('white', 'dis_2'), 'forward', ('blue', 'dis_4'), 25.0, False)
316: (('white', 'dis_2'), 'forward', ('red', 'dis_0'), 39.0, False)
317: (('white', 'dis_2'), 'forward', ('red', 'dis_1'), 38.0, False)
318: (('white', 'dis_2'), 'forward', ('red', 'dis_2'), 37.0, False)
319: (('white', 'dis_2'), 'forward', ('red', 'dis_3'), 36.0, False)
320: (('white', 'dis_2'), 'forward', ('red', 'dis_4'), 135.0, True)
321: (('white', 'dis_2'), 'forward', ('black', 'dis_0'), 49.0, False)
322: (('white', 'dis_2'), 'forward', ('black', 'dis_1'), 48.0, False)
323: (('white', 'dis_2'), 'forward', ('black', 'dis_2'), 47.0, False)
324: (('white', 'dis_2'), 'forward', ('black', 'dis_3'), 46.0, False)
325: (('white', 'dis_2'), 'forward', ('black', 'dis_4'), 45.0, False)
326: (('white', 'dis_2'), 'forward', ('brown', 'dis_0'), 99.0, False)
327: (('white', 'dis_2'), 'forward', ('brown', 'dis_1'), 98.0, False)
328: (('white', 'dis_2'), 'forward', ('brown', 'dis_2'), 97.0, False)
329: (('white', 'dis_2'), 'forward', ('brown', 'dis_3'), 96.0, False)
330: (('white', 'dis_2'), 'forward', ('brown', 'dis_4'), 95.0, False)
331: (('white', 'dis_2'), 'backward', ('white', 'dis_0'), -1.0, False)
332: (('white', 'dis_2'), 'backward', ('white', 'dis_1'), -2.0, False)
333: (('white', 'dis_2'), 'backward', ('white', 'dis_2'), -3.0, False)
334: (('white', 'dis_2'), 'backward', ('white', 'dis_3'), -4.0, False)
335: (('white', 'dis_2'), 'backward', ('white', 'dis_4'), -5.0, False)
336: (('white', 'dis_2'), 'backward', ('yellow', 'dis_0'), 19.0, False)
337: (('white', 'dis_2'), 'backward', ('yellow', 'dis_1'), 18.0, False)
338: (('white', 'dis_2'), 'backward', ('yellow', 'dis_2'), 17.0, False)
339: (('white', 'dis_2'), 'backward', ('yellow', 'dis_3'), 16.0, False)
340: (('white', 'dis_2'), 'backward', ('yellow', 'dis_4'), 15.0, False)
341: (('white', 'dis_2'), 'backward', ('blue', 'dis_0'), 29.0, False)
342: (('white', 'dis_2'), 'backward', ('blue', 'dis_1'), 28.0, False)
343: (('white', 'dis_2'), 'backward', ('blue', 'dis_2'), 27.0, False)
344: (('white', 'dis_2'), 'backward', ('blue', 'dis_3'), 26.0, False)
345: (('white', 'dis_2'), 'backward', ('blue', 'dis_4'), 25.0, False)
346: (('white', 'dis_2'), 'backward', ('red', 'dis_0'), 39.0, False)
347: (('white', 'dis_2'), 'backward', ('red', 'dis_1'), 38.0, False)
348: (('white', 'dis_2'), 'backward', ('red', 'dis_2'), 37.0, False)
349: (('white', 'dis_2'), 'backward', ('red', 'dis_3'), 36.0, False)
350: (('white', 'dis_2'), 'backward', ('red', 'dis_4'), 135.0, True)
351: (('white', 'dis_2'), 'backward', ('black', 'dis_0'), 49.0, False)
352: (('white', 'dis_2'), 'backward', ('black', 'dis_1'), 48.0, False)
353: (('white', 'dis_2'), 'backward', ('black', 'dis_2'), 47.0, False)
354: (('white', 'dis_2'), 'backward', ('black', 'dis_3'), 46.0, False)
355: (('white', 'dis_2'), 'backward', ('black', 'dis_4'), 45.0, False)
